workspace_id,name,address_name,x,y,img_url,area_group,type
61,스페라레스터디카페,제주특별자치도 제주시 가령골길 47,126.539277,33.50311782,http://place.map.kakao.com/793063550,제주도,workspace
62,작심스터디카페 더작심 제주이도법원점,제주특별자치도 제주시 남광북1길 1,126.5343205,33.49459457,http://place.map.kakao.com/616106244,제주도,workspace
63,플랜비스터디카페 이도점,제주특별자치도 제주시 중앙로 351,126.5380199,33.49056928,http://place.map.kakao.com/292678268,제주도,workspace
64,그루스터디카페 제주이도점,제주특별자치도 제주시 구남로2길 54,126.5360144,33.485484,http://place.map.kakao.com/759156448,제주도,workspace
65,노벨스터디카페 제주본점,제주특별자치도 제주시 서문로 14,126.5131157,33.50950743,http://place.map.kakao.com/758038091,제주도,workspace
66,엘알마스터디카페 삼화점,제주특별자치도 제주시 화삼로 19,126.5751579,33.51443573,http://place.map.kakao.com/2035897026,제주도,workspace
67,시작스터디카페,제주특별자치도 제주시 고마로 113,126.5418118,33.50448592,http://place.map.kakao.com/1829183416,제주도,workspace
68,작심스터디카페,제주특별자치도 제주시 구남동1길 48,126.5414962,33.49329238,http://place.map.kakao.com/988283643,제주도,workspace
69,그루스터디카페 제주삼화지구센터,제주특별자치도 제주시 건주로3길 19,126.5814087,33.51676869,http://place.map.kakao.com/1593287032,제주도,workspace
70,청담스터디카페 제주아라점,제주특별자치도 제주시 중앙로 553,126.5458836,33.47386653,http://place.map.kakao.com/763826190,제주도,workspace
71,원클래스스터디카페,제주특별자치도 제주시 일주동로 194,126.5663363,33.51851552,http://place.map.kakao.com/185830234,제주도,workspace
72,블루스터디카페,제주특별자치도 제주시 천수로 68,126.5435052,33.50478159,http://place.map.kakao.com/488212051,제주도,workspace
73,탑스터디카페,제주특별자치도 제주시 화삼로1길 14,126.5752746,33.51478414,http://place.map.kakao.com/143146288,제주도,workspace
74,스카이독서실&스터디카페,제주특별자치도 제주시 서광로 209,126.5187962,33.50017562,http://place.map.kakao.com/9215231,제주도,workspace
75,카페가젠,제주특별자치도 제주시 연수로 19,126.5460332,33.50396051,http://place.map.kakao.com/124062168,제주도,workspace
76,에이바우트커피 칠성점,제주특별자치도 제주시 관덕로11길 36,126.525691,33.51617118,http://place.map.kakao.com/1602152285,제주도,workspace
77,에이바우트커피 삼화점,제주특별자치도 제주시 동화로 56,126.5727744,33.51540125,http://place.map.kakao.com/878012600,제주도,workspace
78,에이바우트커피 봉개점,제주특별자치도 제주시 번영로 510,126.595674,33.48941389,http://place.map.kakao.com/1320430781,제주도,workspace
79,엔제리너스 제주시청D/I점,제주특별자치도 제주시 중앙로 274-1,126.5325335,33.49552279,http://place.map.kakao.com/998177384,제주도,workspace
80,더로그,제주특별자치도 제주시 산천단동3길 26,126.558919,33.45015465,http://place.map.kakao.com/1308571099,제주도,workspace
81,다산독서실,제주특별자치도 제주시 독짓골4길 15,126.5308065,33.49131033,http://place.map.kakao.com/8843735,제주도,workspace
82,체리블라썸,제주특별자치도 제주시 일주동로 334,126.5806027,33.5209773,http://place.map.kakao.com/1899946078,제주도,workspace
83,바짝스터디카페 진도센터,전남 진도군 진도읍 옥주길 16-1,126.2638361,34.4838292,http://place.map.kakao.com/1582178820,전라도,workspace
84,스터디카페 스터디고 해남에듀탐점,전남 해남군 해남읍 구교3길 8-3,126.5926123,34.5773491,http://place.map.kakao.com/1277212134,전라도,workspace
85,어라운드스터디카페 해남점,전남 해남군 해남읍 군청길 1,126.5985664,34.5720882,http://place.map.kakao.com/1135458012,전라도,workspace
86,리게인스터디카페 목포북항점,전남 목포시 청호로 188,126.3724616,34.80732096,http://place.map.kakao.com/1621195229,전라도,workspace
87,비허밍스터디카페 목포북항점,전남 목포시 연산로 157,126.3799513,34.8106233,http://place.map.kakao.com/1875102034,전라도,workspace
88,플래너스터디카페,전남 목포시 원산중앙로 28,126.3756383,34.80807644,http://place.map.kakao.com/937743383,전라도,workspace
89,리게인스터디카페 목포북항2호점,전남 목포시 청호로 196,126.3719597,34.80778349,http://place.map.kakao.com/813368683,전라도,workspace
90,큰별스터디카페,전남 목포시 청호로219번길 30,126.3675211,34.80742879,http://place.map.kakao.com/52781044,전라도,workspace
91,플랜에이스터디카페 무안남악센터,전남 무안군 삼향읍 남악2로74번가길 4-5,126.4585042,34.81336257,http://place.map.kakao.com/1902440408,전라도,workspace
92,비허밍스터디카페 목포하당점,전남 목포시 번영로 45,126.4278031,34.80298943,http://place.map.kakao.com/823548900,전라도,workspace
93,비허밍스터디카페 목포북항2호점,전남 목포시 양을로 49-1,126.381495,34.80235726,http://place.map.kakao.com/1154341345,전라도,workspace
94,비허밍스터디카페 목포석현점,전남 목포시 석현로 2,126.4215524,34.81548026,http://place.map.kakao.com/57501558,전라도,workspace
95,르하임스터디카페 무안남악점,전남 무안군 삼향읍 남악3로82번길 14,126.4617349,34.81268824,http://place.map.kakao.com/1285860583,전라도,workspace
96,작심스터디카페 목포우성점,전남 목포시 신흥로 12,126.422481,34.80144994,http://place.map.kakao.com/30654939,전라도,workspace
97,바른스터디카페,전남 목포시 삼학로 329,126.4084824,34.80023883,http://place.map.kakao.com/1422966548,전라도,workspace
98,바른스터디카페 용해이로점,전남 목포시 이로로 6,126.4055272,34.80515417,http://place.map.kakao.com/573210739,전라도,workspace
99,리본스터디카페 하당점,전남 목포시 비파로43번길 7,126.426336,34.80212079,http://place.map.kakao.com/463480340,전라도,workspace
100,리게인스터디카페 무안남악점,전남 무안군 삼향읍 남악5로70번길 24,126.4738306,34.81144674,http://place.map.kakao.com/1634553357,전라도,workspace
101,비허밍스터디카페 전남영암점,전남 영암군 삼호읍 대불주거로 145,126.4580631,34.75164615,http://place.map.kakao.com/1643329692,전라도,workspace
102,르하임스터디카페 목포용해이로점,전남 목포시 삼학로373번길 16,126.4073278,34.8042913,http://place.map.kakao.com/2011822404,전라도,workspace
103,작심스터디카페 목포남악점,전남 목포시 남악2로 60-8,126.4559283,34.81033591,http://place.map.kakao.com/1853744970,전라도,workspace
104,비허밍스터디카페 목포용해점,전남 목포시 연산백련로1번길 112-1,126.3908396,34.82001762,http://place.map.kakao.com/1646907057,전라도,workspace
105,챌린지스터디카페 목포하당센터,전남 목포시 신흥로 30,126.4242933,34.80232387,http://place.map.kakao.com/269735225,전라도,workspace
106,하베르스터디카페 목포남악점,전남 목포시 남악2로 54,126.4551641,34.80987728,http://place.map.kakao.com/1843119252,전라도,workspace
107,바짝스터디카페,전남 무안군 삼향읍 남악3로82번가길 38,126.4641031,34.81355682,http://place.map.kakao.com/1064137247,전라도,workspace
108,큰별스터디카페 포미점,전남 목포시 포미로 8,126.3978469,34.81671915,http://place.map.kakao.com/1167374122,전라도,workspace
109,바른스터디카페,전남 목포시 평화로 118,126.437233,34.79830557,http://place.map.kakao.com/1677894537,전라도,workspace
110,챌린지스터디카페 남악센터,전남 무안군 삼향읍 남악5로48번길 3,126.4716542,34.80996713,http://place.map.kakao.com/1625933382,전라도,workspace
111,리본스터디카페 남악점,전남 무안군 삼향읍 남악4로 40,126.4663823,34.80943663,http://place.map.kakao.com/2044070706,전라도,workspace
112,작심스터디카페 목포하당점,전남 목포시 옥암로 104,126.4262881,34.80841231,http://place.map.kakao.com/1728385163,전라도,workspace
113,바른스터디카페,전남 목포시 영산로 391-1,126.4084736,34.80651251,http://place.map.kakao.com/2022140249,전라도,workspace
114,바른스터디카페,전남 목포시 텃골로13번길 72,126.4185504,34.8165278,http://place.map.kakao.com/229354828,전라도,workspace
115,디디스터디카페 목포상동점,전남 목포시 부흥로 49,126.4268686,34.80221884,http://place.map.kakao.com/922439237,전라도,workspace
116,비허밍스터디카페 무안남악2호점,전남 무안군 삼향읍 남악3로 71,126.4598031,34.81144026,http://place.map.kakao.com/972665575,전라도,workspace
117,바른스터디 카페 상동점,전남 목포시 상동로 13,126.4161087,34.81172069,http://place.map.kakao.com/1684999417,전라도,workspace
118,바른스터디카페,전남 목포시 당가두로 26,126.4387687,34.80840561,http://place.map.kakao.com/102627461,전라도,workspace
119,더베스트 스터디카페 목포하당본점,전남 목포시 장미로 28,126.4246326,34.80161337,http://place.map.kakao.com/1012059634,전라도,workspace
120,바른스터디카페,전남 영암군 삼호읍 대불주거로 54,126.4660656,34.74664264,http://place.map.kakao.com/1794711811,전라도,workspace
121,디디스터디 카페 포미타운점,전남 목포시 용해지구로 6,126.3986722,34.81744886,http://place.map.kakao.com/141140298,전라도,workspace
122,포스스터디카페,전남 목포시 신흥로 28,126.4240167,34.80217834,http://place.map.kakao.com/689580940,전라도,workspace
123,비허밍스터디카페 무안남악점,전남 무안군 삼향읍 남악5로48번길 13,126.4727776,34.80998552,http://place.map.kakao.com/19808959,전라도,workspace
124,스터디공간,전남 목포시 장미로 50,126.4268209,34.80264227,http://place.map.kakao.com/1664937933,전라도,workspace
125,메카 독서실,전남 영암군 삼호읍 세가래2길 30-14,126.4730186,34.74735348,http://place.map.kakao.com/1013859855,전라도,workspace
126,옥스포드스터디카페,전남 무안군 삼향읍 남악2로74번길 35,126.4587379,34.81304903,http://place.map.kakao.com/268591914,전라도,workspace
127,비허밍스터디카페 무안오룡점,전남 무안군 일로읍 오룡번영3로 40,126.4835326,34.80353616,http://place.map.kakao.com/1413145683,전라도,workspace
